"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8142628,2244,1,2019,"I",,"Y","G","C","2019_01_DCMTP0000_NIBRS",70931296,0
2019,8150290,2244,2,2019,"I",,"Y","G","C","2019_02_DCMTP0000_NIBRS",64671453,0
2019,8157952,2244,3,2019,"I",,"Y","G","C","2019_03_DCMTP0000_NIBRS",64671455,0
2019,8165614,2244,4,2019,"I",,"Y","G","C","2019_04_DCMTP0000_NIBRS",67766502,0
2019,8173276,2244,5,2019,"I",,"Y","G","C","2019_05_DCMTP0000_NIBRS",70931301,0
2019,8180938,2244,6,2019,"I",,"Y","G","C","2019_06_DCMTP0000_NIBRS",70931285,0
2019,8188600,2244,7,2019,"I",,"Y","G","C","2019_07_DCMTP0000_NIBRS",70931297,0
2019,8196262,2244,8,2019,"I",,"Y","G","C","2019_08_DCMTP0000_NIBRS",70931295,0
2019,8203924,2244,9,2019,"I",,"Y","G","C","2019_09_DCMTP0000_NIBRS",70931294,0
2019,8211586,2244,10,2019,"I",,"Y","G","C","2019_10_DCMTP0000_NIBRS",70931298,0
2019,8219248,2244,11,2019,"I",,"Y","G","C","2019_11_DCMTP0000_NIBRS",70931283,0
2019,8226910,2244,12,2019,"I",,"Y","G","C","2019_12_DCMTP0000_NIBRS",70931290,0
