data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc."
2012,321079,2866554,9877,235966,59859,455543,1047034,1224311,416525,13090,55454,127088,6356,0,0,1069633,370037,956,56961,9067,90183,44995,15558,85272,56752,993584,81302,1447,22367,188462,122621
2013,316668,3025308,8858,214633,49518,445989,1087252,1420659,508815,13218,51398,120227,5320,0,0,1137084,453422,890,75846,9012,124613,43525,16121,83383,48797,969840,88426,10989,21982,190782,118905
2014,307233,2695110,7867,197999,42752,364603,961475,1279343,347008,13309,47083,116857,4532,0,0,1040663,266683,920,56934,8816,82848,38493,17532,78343,45646,909509,73628,1118,23172,164461,116109
2015,315085,2729688,7519,182360,36353,336442,898058,1166244,345435,13408,46492,113014,3852,0,0,984109,228802,923,64651,9614,83114,33847,19218,79659,43949,913474,74439,2286,21781,161733,121292
2016,320521,2767483,8342,175765,27901,317162,860509,1253038,315310,13681,48008,109876,3058,3,0,893307,199230,999,71552,10060,79759,31306,19674,79818,42620,911044,79979,1373,20498,164600,131733
2017,352787,3126588,8426,185661,24708,302239,857880,1365715,308485,14522,49103,118531,2746,396,252,880968,190054,1103,83990,10967,82500,32275,22180,84747,43501,982284,85833,933,19215,167086,144970
2018,331292,2805416,7739,151993,17937,280106,817973,1367942,280305,12394,43133,103931,2811,540,89,763604,150025,1010,75929,10231,78607,25318,21145,73281,39143,896888,80972,614,19183,152096,140287
2019,347356,2942824,7686,153840,15768,262768,797848,1247060,259233,12338,41181,107077,2291,534,283,780036,146908,1169,75277,10129,69806,24333,22094,72377,38645,923973,76660,1325,17677,153925,135531
2020,334452,2051465,8398,134800,10188,200961,646550,938869,159251,8249,27666,73462,1612,377,187,573950,95016,1332,74255,11695,51471,13744,19658,61915,29292,818528,72624,460,11880,145925,142331
2021,204843,1762945,5673,76194,5988,176751,542421,665251,299,5696,17766,52693,850,361,86,374656,75819,921,48924,8754,37973,8474,14530,33071,13537,661505,51455,7,8989,110734,113424
2022,287544,2076644,8048,102326,5993,209049,651889,766595,19866,8040,24726,65991,1208,402,117,493827,80080,1159,65396,10507,40290,13026,16775,49915,21445,800695,70931,63,13210,138479,152535
